0 8 157845
0 10 159861
0 12 66257
0 15 28766
0 18 11585
0 21 4562
0 24 1502
0 27 390
0 30 83
0 33 31
0 36 10
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 0
1 33 0
1 36 0
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 0
2 36 0

0 8 0
0 10 162204
0 12 172729
0 15 60980
0 18 23500
0 21 8026
0 24 2401
0 27 644
0 30 110
0 33 28
0 36 10
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 0
1 33 0
1 36 0
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 0
2 36 0

0 8 0
0 10 0
0 12 227092
0 15 138435
0 18 44929
0 21 14473
0 24 4276
0 27 1076
0 30 231
0 33 43
0 36 4
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 0
1 33 0
1 36 0
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 0
2 36 0

0 8 0
0 10 0
0 12 0
0 15 248232
0 18 133459
0 21 36158
0 24 9829
0 27 2291
0 30 522
0 33 86
0 36 25
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 0
1 33 0
1 36 0
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 0
2 36 0

0 8 0
0 10 0
0 12 0
0 15 0
0 18 272563
0 21 124567
0 24 26395
0 27 6033
0 30 1102
0 33 236
0 36 46
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 0
1 33 0
1 36 2
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 0
2 36 3

0 8 0
0 10 0
0 12 0
0 15 0
0 18 0
0 21 297240
0 24 108852
0 27 18761
0 30 3663
0 33 599
0 36 118
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 0
1 33 0
1 36 7
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 0
2 36 6

0 8 0
0 10 0
0 12 0
0 15 0
0 18 0
0 21 0
0 24 315910
0 27 97505
0 30 13331
0 33 2311
0 36 492
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 0
1 33 0
1 36 6
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 0
2 36 6

0 8 0
0 10 0
0 12 0
0 15 0
0 18 0
0 21 0
0 24 0
0 27 334500
0 30 82072
0 33 10000
0 36 1768
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 1
1 33 0
1 36 35
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 0
2 36 19

0 8 0
0 10 0
0 12 0
0 15 0
0 18 0
0 21 0
0 24 0
0 27 0
0 30 342550
0 33 73875
0 36 10156
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 0
1 33 3
1 36 247
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 3
2 36 134

0 8 0
0 10 0
0 12 0
0 15 0
0 18 0
0 21 0
0 24 0
0 27 0
0 30 0
0 33 354383
0 36 69432
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 0
1 33 0
1 36 1104
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 0
2 36 747

0 8 0
0 10 0
0 12 0
0 15 0
0 18 0
0 21 0
0 24 0
0 27 0
0 30 0
0 33 0
0 36 413862
1 8 0
1 10 0
1 12 0
1 15 0
1 18 0
1 21 0
1 24 0
1 27 0
1 30 0
1 33 0
1 36 6704
2 8 0
2 10 0
2 12 0
2 15 0
2 18 0
2 21 0
2 24 0
2 27 0
2 30 0
2 33 0
2 36 3964

