1 8.000000 0.000000 1.000000 81057743.000000
2 10.000000 -0.458885 0.631988 77518809.000000
3 12.000000 -0.937401 0.391644 73507167.000000
4 15.000000 -1.680568 0.186268 64599133.000000
5 18.000000 -2.538337 0.078998 56417494.000000
6 21.000000 -3.535860 0.029134 48755304.000000
7 24.000000 -4.711117 0.008995 43170210.000000
8 27.000000 -6.038074 0.002386 38592948.000000
9 30.000000 -7.553021 0.000525 35638596.000000
10 33.000000 -9.171522 0.000104 32449059.000000
11 36.000000 -10.950018 0.000018 29819393.000000
