-0.065000 0.005009 0.005028 0.004899 50089 50284 48989
-0.055000 0.005041 0.005065 0.004942 50412 50654 49420
-0.045000 0.004995 0.005033 0.004930 49950 50332 49297
-0.035000 0.004997 0.005030 0.004931 49968 50298 49314
-0.025000 0.005100 0.005037 0.004851 50997 50365 48515
-0.015000 0.004988 0.004980 0.004834 49877 49801 48339
-0.005000 0.005014 0.005021 0.004888 50136 50210 48884
0.005000 0.005046 0.005002 0.004913 50456 50016 49131
0.015000 0.005039 0.004980 0.004927 50387 49805 49267
0.025000 0.005046 0.004942 0.004900 50465 49419 49004
0.035000 0.004975 0.004962 0.004906 49746 49622 49061
0.045000 0.005083 0.004946 0.004896 50830 49457 48958
0.055000 0.005063 0.004983 0.004901 50633 49834 49006
0.065000 0.005070 0.004926 0.004900 50696 49255 49001
0.075000 0.005073 0.004897 0.004900 50735 48971 48995
0.085000 0.005091 0.004910 0.004870 50906 49096 48701
0.095000 0.005096 0.004892 0.004874 50963 48919 48737
0.105000 0.005088 0.004899 0.004899 50884 48988 48994
0.115000 0.005051 0.004903 0.004899 50508 49026 48993
0.125000 0.005057 0.004872 0.004889 50568 48724 48895
0.135000 0.005038 0.004929 0.004879 50378 49291 48785
0.145000 0.005087 0.004873 0.004941 50873 48725 49409
0.155000 0.005118 0.004922 0.004945 51185 49223 49453
0.165000 0.005107 0.004908 0.004890 51068 49078 48897
0.175000 0.005116 0.004880 0.004971 51158 48803 49712
0.185000 0.005180 0.004883 0.004946 51804 48833 49461
0.195000 0.005175 0.004876 0.004944 51748 48765 49443
0.205000 0.005182 0.004893 0.004953 51821 48926 49531
0.215000 0.005129 0.004893 0.004929 51290 48928 49293
0.225000 0.005165 0.004873 0.004958 51648 48733 49583
0.235000 0.005138 0.004861 0.004959 51383 48614 49588
0.245000 0.005182 0.004875 0.004976 51823 48748 49756
0.255000 0.005184 0.004848 0.004956 51837 48477 49562
0.265000 0.005156 0.004826 0.004951 51556 48257 49512
0.275000 0.005169 0.004830 0.004941 51690 48300 49406
0.285000 0.005153 0.004855 0.004936 51530 48555 49365
0.295000 0.005175 0.004837 0.004943 51748 48375 49426
0.305000 0.005121 0.004833 0.004980 51212 48328 49801
0.315000 0.005124 0.004850 0.005019 51239 48496 50187
0.325000 0.005069 0.004828 0.005006 50689 48275 50062
0.335000 0.005135 0.004827 0.005038 51349 48269 50381
0.345000 0.005084 0.004862 0.004990 50842 48618 49901
0.355000 0.005065 0.004825 0.005000 50650 48246 50001
0.365000 0.005084 0.004845 0.004986 50842 48451 49856
0.375000 0.005087 0.004848 0.004992 50866 48484 49921
0.385000 0.005081 0.004909 0.005045 50814 49087 50453
0.395000 0.005071 0.004864 0.005005 50708 48637 50049
0.405000 0.005098 0.004842 0.005004 50977 48423 50036
0.415000 0.005081 0.004872 0.005032 50806 48716 50319
0.425000 0.005133 0.004869 0.005015 51329 48686 50155
0.435000 0.005164 0.004826 0.004999 51640 48261 49990
0.445000 0.005139 0.004856 0.004993 51388 48563 49930
0.455000 0.005125 0.004823 0.004994 51248 48232 49936
0.465000 0.005161 0.004822 0.005053 51608 48216 50535
0.475000 0.005146 0.004820 0.005026 51457 48202 50256
0.485000 0.005148 0.004880 0.004987 51479 48801 49875
0.495000 0.005155 0.004817 0.004995 51548 48174 49951
0.505000 0.005162 0.004882 0.005013 51615 48825 50132
0.515000 0.005129 0.004869 0.004950 51287 48692 49502
0.525000 0.005178 0.004835 0.004959 51779 48350 49592
0.535000 0.005107 0.004829 0.004899 51074 48289 48989
0.545000 0.005121 0.004804 0.004975 51211 48042 49749
0.555000 0.005030 0.004826 0.004939 50297 48256 49388
0.565000 0.005041 0.004810 0.004962 50413 48099 49618
0.575000 0.005070 0.004823 0.004958 50699 48233 49582
0.585000 0.005031 0.004839 0.004930 50309 48389 49299
0.595000 0.005051 0.004844 0.004962 50513 48438 49624
0.605000 0.005040 0.004784 0.004961 50405 47836 49607
0.615000 0.005021 0.004837 0.005016 50213 48370 50162
0.625000 0.005057 0.004835 0.004987 50574 48350 49875
0.635000 0.005034 0.004835 0.005000 50345 48354 49999
0.645000 0.005054 0.004895 0.004976 50541 48951 49763
0.655000 0.005012 0.004887 0.004990 50122 48868 49902
0.665000 0.005029 0.004925 0.004969 50289 49248 49694
0.675000 0.005041 0.004949 0.005019 50411 49488 50185
0.685000 0.005055 0.004956 0.004974 50547 49560 49737
0.695000 0.004997 0.004933 0.004987 49965 49332 49866
0.705000 0.004977 0.004917 0.004980 49770 49175 49803
0.715000 0.004957 0.004938 0.005023 49573 49377 50234
0.725000 0.004992 0.004923 0.004937 49915 49227 49370
0.735000 0.004952 0.004867 0.004889 49516 48667 48893
0.745000 0.004995 0.004924 0.004932 49953 49240 49317
0.755000 0.005055 0.004832 0.004869 50553 48322 48688
0.765000 0.005035 0.004847 0.004924 50354 48474 49238
0.775000 0.005035 0.004827 0.004843 50347 48271 48432
0.785000 0.005062 0.004786 0.004881 50623 47862 48808
0.795000 0.005063 0.004830 0.004852 50631 48297 48524
0.805000 0.005048 0.004831 0.004883 50476 48311 48827
0.815000 0.005030 0.004812 0.004915 50302 48117 49152
0.825000 0.005079 0.004821 0.004955 50794 48206 49550
0.835000 0.005071 0.004768 0.004919 50714 47684 49190
0.845000 0.005030 0.004815 0.004916 50297 48152 49157
0.855000 0.004968 0.004781 0.004886 49680 47814 48863
0.865000 0.004945 0.004774 0.004936 49454 47742 49360
0.875000 0.004961 0.004725 0.004941 49610 47249 49412
0.885000 0.004894 0.004729 0.004938 48940 47290 49380
0.895000 0.004880 0.004668 0.004878 48803 46678 48783
0.905000 0.004937 0.004651 0.004867 49368 46508 48665
0.915000 0.004970 0.004623 0.004832 49704 46233 48316
0.925000 0.004957 0.004636 0.004875 49573 46356 48748
0.935000 0.004895 0.004648 0.004865 48950 46479 48654
0.945000 0.004860 0.004581 0.004839 48604 45810 48386
0.955000 0.004788 0.004643 0.004852 47884 46428 48519
0.965000 0.004788 0.004658 0.004853 47881 46576 48529
0.975000 0.004875 0.004742 0.004812 48754 47424 48119
0.985000 0.004940 0.004703 0.004758 49403 47032 47578
0.995000 0.004955 0.004491 0.004676 49555 44906 46761
