0 1  8.000000000 67097.000000000
0 2 10.000000000 54496.110651891
0 3 12.000000000 39022.218128960
0 4 15.000000000 19522.035317217
0 5 18.000000000 8999.473762841
0 6 21.000000000 3536.908340757
0 7 24.000000000 1203.194001446
0 8 27.000000000 312.228732651
0 9 30.000000000 74.680829223
0 10 33.000000000 15.571478039
0 11 36.000000000  2.902275043
1 1  8.000000000  0.000000000
1 2 10.000000000  0.000000000
1 3 12.000000000  0.000000000
1 4 15.000000000  0.000000000
1 5 18.000000000  0.000000000
1 6 21.000000000  0.000000000
1 7 24.000000000  0.000000000
1 8 27.000000000  0.000000000
1 9 30.000000000  0.000000000
1 10 33.000000000  0.000000000
1 11 36.000000000  0.068342642
