
1 &     0.056116 &    1.653e-08 &   8.3341e-09 \\ 
2 &   1.7993e-06 &   0.00076941 &   5.0367e-05 \\ 
3 &   4.1394e-06 &   0.00022983 &     0.087995 \\ 
